Fecha,Hora,caudal m3 puelo
11/03/2022,08:46,466.708
11/03/2022,09:46,459.604
11/03/2022,10:46,459.604
11/03/2022,11:46,459.604
11/03/2022,12:46,452.500
11/03/2022,13:46,448.948
11/03/2022,14:46,445.396
11/03/2022,15:46,438.292
11/03/2022,16:46,438.292
11/03/2022,17:46,431.357
11/03/2022,18:46,427.974
11/03/2022,19:46,424.591
11/03/2022,20:46,424.591
11/03/2022,21:46,417.825
11/03/2022,22:46,414.442
11/03/2022,23:46,411.059
12/03/2022,00:46,411.059
12/03/2022,01:46,411.059
12/03/2022,02:46,407.676
12/03/2022,03:46,404.293
12/03/2022,04:46,400.910
12/03/2022,05:46,400.910
12/03/2022,06:46,397.697
12/03/2022,07:46,397.697
12/03/2022,08:46,394.484
12/03/2022,09:46,394.484
12/03/2022,10:46,391.271
12/03/2022,11:46,391.271
12/03/2022,12:46,388.058
12/03/2022,13:46,384.845
12/03/2022,14:46,384.845
12/03/2022,15:46,381.632
12/03/2022,16:46,378.419
12/03/2022,17:46,375.206
12/03/2022,18:46,375.206
12/03/2022,19:46,368.780
12/03/2022,20:46,368.780
12/03/2022,21:46,365.737
12/03/2022,22:46,365.737
12/03/2022,23:46,362.694
13/03/2022,00:46,362.694
13/03/2022,01:46,359.651
13/03/2022,02:46,359.651
13/03/2022,03:46,356.608
13/03/2022,04:46,353.565
13/03/2022,05:46,353.565
13/03/2022,06:46,353.565
13/03/2022,07:46,350.522
13/03/2022,08:46,350.522
13/03/2022,09:46,347.479
13/03/2022,10:46,347.479
13/03/2022,11:46,347.479
13/03/2022,12:46,344.436
13/03/2022,13:46,341.393
13/03/2022,14:46,341.393
13/03/2022,15:46,338.350
13/03/2022,16:46,335.476
13/03/2022,17:46,332.602
13/03/2022,18:46,332.602
13/03/2022,19:46,329.728
13/03/2022,20:46,329.728
13/03/2022,21:46,326.854
13/03/2022,22:46,326.854
13/03/2022,23:46,326.854
14/03/2022,00:46,323.980
14/03/2022,01:46,323.980
14/03/2022,02:46,321.106
14/03/2022,03:46,321.106
14/03/2022,04:46,318.232
14/03/2022,05:46,315.358
14/03/2022,06:46,315.358
14/03/2022,07:46,318.232
14/03/2022,08:46,315.358
14/03/2022,09:46,312.484
14/03/2022,10:46,309.610
14/03/2022,11:46,309.610
14/03/2022,12:46,309.610
14/03/2022,13:46,306.906
14/03/2022,14:46,304.202
14/03/2022,15:46,306.906
14/03/2022,16:46,301.498
14/03/2022,17:46,301.498
14/03/2022,18:46,298.794
14/03/2022,19:46,298.794
14/03/2022,20:46,298.794
14/03/2022,21:46,298.794
14/03/2022,22:46,298.794
14/03/2022,23:46,298.794
15/03/2022,00:46,296.090
15/03/2022,01:46,296.090
15/03/2022,02:46,296.090
15/03/2022,03:46,296.090
15/03/2022,04:46,293.386
15/03/2022,05:46,293.386
15/03/2022,06:46,293.386
15/03/2022,07:46,290.682
15/03/2022,08:46,290.682
15/03/2022,09:46,293.386
15/03/2022,10:46,290.682
15/03/2022,11:46,293.386
15/03/2022,12:46,287.978
15/03/2022,13:46,285.274
15/03/2022,14:46,285.274
15/03/2022,15:46,287.978
15/03/2022,16:46,285.274
15/03/2022,17:46,285.274
15/03/2022,18:46,282.570
15/03/2022,19:46,282.570
15/03/2022,20:46,282.570
15/03/2022,21:46,280.036
15/03/2022,22:46,282.570
15/03/2022,23:46,280.036
16/03/2022,00:46,277.502
16/03/2022,01:46,277.502
16/03/2022,02:46,277.502
16/03/2022,03:46,277.502
16/03/2022,04:46,274.968
16/03/2022,05:46,277.502
16/03/2022,06:46,274.968
16/03/2022,07:46,277.502
16/03/2022,08:46,274.968
16/03/2022,09:46,274.968
